timestamp,people,gaits,env,temperature
1757732873.6311848,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732873.935889,6,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732874.2465763,6,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732874.5641701,6,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732874.9586563,10,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732875.2623503,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732875.5516524,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732875.8886068,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732876.258366,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732876.6061056,6,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732876.9147909,6,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732877.2242732,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732877.5376136,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732877.9043467,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732878.3035123,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732878.6543152,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732879.0254347,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732879.327215,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732879.6776314,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732879.9845712,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732880.2890742,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
1757732880.5929606,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,28.04
